S.No,Product Name,Offer Price,Discount,Rating,Delivery Info,You Save
1,"boAt Airdopes 148 TWS Earbuds with Environmental Noise Cancellation (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Black)",799,82% Off,4,"Standard Delivery by Tue, 28th Oct","( 3,691)"
2,"boAt BassHeads 100 Wired Earphone with Mic (In Ear, Black)",349,65% Off,4.1,"Standard Delivery by Mon, 27th Oct",( 650)
3,Apple AirPods Pro 3 with MagSafe Charging Case,"25,900",N/A,4,"Standard Delivery by Tue, 28th Oct",N/A
4,"boAt Airdopes 148 TWS Earbuds with Environmental Noise Cancellation (IPX4 Sweat & Water Resistant, 42 Hours Playtime, Cyan Cider)",799,82% Off,3.9,"Standard Delivery by Tue, 28th Oct","( 3,691)"
5,"OnePlus Nord Buds 3 TWS Earbuds with Active Noise Cancellation (IP55 Water and Dust Resistant, 43 Hours Playback, Harmonic Gray)","1,799",36% Off,4.5,"Standard Delivery by Tue, 28th Oct","( 1,000)"
6,"JBL T50HIBLUIN Wired Earphone with Mic (In Ear, Blue)",499,50% Off,4.1,"Standard Delivery by Mon, 27th Oct",( 500)
7,"boAt Rockerz 200 Neckband with Environmental Noise Cancellation (IPX5 Sweat & Splash Resistance, Magnetic Buds, Blue)",899,64% Off,4.5,"Standard Delivery by Tue, 28th Oct","( 1,591)"
8,"OnePlus Bullets Z3 Neckband with Environmental Noise Cancellation (IP55 Water Resistant, Magnetic Control, Mambo Midnight)","1,299",35% Off,3.9,"Standard Delivery by Tue, 28th Oct",( 700)
9,"realme T310 TWS Earbuds with Hybrid Noise Cancellation (IP55 Water & Dust Resistance, 40 Hours Playback, Vibrant Black)","1,699",58% Off,4.5,"Standard Delivery by Wed, 29th Oct","( 2,300)"
10,"Apple Wired Earpod with Mic (USB Type-C, In Ear, White)","1,900",5% Off,3.9,"Standard Delivery by Tue, 28th Oct",( 100)
